team_id,zone_id,share
TEAM_069,BLD01_F04_ZC,0.2
TEAM_070,BLD01_F04_ZB,0.8
TEAM_070,BLD01_F04_ZC,0.2
TEAM_071,BLD01_F04_ZC,0.8
TEAM_071,BLD01_F04_ZD,0.2
TEAM_072,BLD01_F04_ZD,0.8
TEAM_072,BLD01_F04_ZB,0.2
TEAM_073,BLD01_F04_ZA,0.8
TEAM_073,BLD01_F04_ZD,0.2
TEAM_074,BLD01_F04_ZD,0.8
TEAM_074,BLD01_F04_ZB,0.2
TEAM_075,BLD01_F04_ZB,0.8
TEAM_075,BLD01_F04_ZD,0.2
TEAM_076,BLD01_F04_ZC,0.8
TEAM_076,BLD01_F04_ZB,0.2
TEAM_077,BLD01_F04_ZB,0.8
TEAM_077,BLD01_F04_ZD,0.2
TEAM_078,BLD01_F04_ZA,0.8
TEAM_078,BLD01_F04_ZB,0.2
TEAM_079,BLD01_F04_ZD,0.8
TEAM_079,BLD01_F04_ZB,0.2
TEAM_080,BLD01_F04_ZC,0.8
TEAM_080,BLD01_F04_ZA,0.2
TEAM_081,BLD01_F04_ZC,0.8
TEAM_081,BLD01_F04_ZB,0.2
TEAM_082,BLD01_F04_ZB,0.8
TEAM_082,BLD01_F04_ZD,0.2
TEAM_083,BLD01_F04_ZA,0.8
TEAM_083,BLD01_F04_ZC,0.2
TEAM_084,BLD01_F04_ZD,0.8
TEAM_084,BLD01_F04_ZA,0.2
TEAM_085,BLD01_F04_ZB,0.8
TEAM_085,BLD01_F04_ZD,0.2
TEAM_086,BLD01_F04_ZC,0.8
TEAM_086,BLD01_F04_ZB,0.2
TEAM_087,BLD01_F04_ZA,0.8
TEAM_087,BLD01_F04_ZC,0.2
TEAM_088,BLD01_F04_ZD,0.8
TEAM_088,BLD01_F04_ZA,0.2
