team_id,department_id,department,name,office_days,home_floor_id,primary_zone_id
TEAM_026,DEP_ENG,Engineering,Engineering Team 26,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZC
TEAM_027,DEP_ENG,Engineering,Engineering Team 27,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZA
TEAM_028,DEP_ENG,Engineering,Engineering Team 28,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZD
TEAM_029,DEP_ENG,Engineering,Engineering Team 29,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZB
TEAM_030,DEP_ENG,Engineering,Engineering Team 30,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZA
TEAM_031,DEP_ENG,Engineering,Engineering Team 31,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZC
TEAM_032,DEP_ENG,Engineering,Engineering Team 32,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZD
TEAM_033,DEP_ENG,Engineering,Engineering Team 33,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZB
TEAM_034,DEP_ENG,Engineering,Engineering Team 34,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZA
TEAM_035,DEP_OPE,Operations,Operations Team 35,"[1, 2, 4]",BLD01_F02,BLD01_F02_ZD
TEAM_036,DEP_OPE,Operations,Operations Team 36,"[1, 2, 3]",BLD01_F02,BLD01_F02_ZC
TEAM_037,DEP_OPE,Operations,Operations Team 37,"[3, 4, 5]",BLD01_F02,BLD01_F02_ZA
TEAM_038,DEP_OPE,Operations,Operations Team 38,"[1, 4, 5]",BLD01_F02,BLD01_F02_ZB
TEAM_039,DEP_OPE,Operations,Operations Team 39,"[1, 2, 4]",BLD01_F02,BLD01_F02_ZD
TEAM_040,DEP_OPE,Operations,Operations Team 40,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZC
TEAM_041,DEP_OPE,Operations,Operations Team 41,"[2, 3, 5]",BLD01_F02,BLD01_F02_ZA
TEAM_042,DEP_OPE,Operations,Operations Team 42,"[1, 3, 5]",BLD01_F02,BLD01_F02_ZB
TEAM_043,DEP_OPE,Operations,Operations Team 43,"[2, 3, 4]",BLD01_F02,BLD01_F02_ZC
TEAM_044,DEP_OPE,Operations,Operations Team 44,"[1, 2, 5]",BLD01_F02,BLD01_F02_ZD
TEAM_045,DEP_OPE,Operations,Operations Team 45,"[2, 3, 4]",BLD01_F03,BLD01_F03_ZA
TEAM_046,DEP_OPE,Operations,Operations Team 46,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZB
TEAM_047,DEP_OPE,Operations,Operations Team 47,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZC
TEAM_048,DEP_OPE,Operations,Operations Team 48,"[2, 4, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_049,DEP_OPE,Operations,Operations Team 49,"[2, 3, 5]",BLD01_F03,BLD01_F03_ZB
TEAM_050,DEP_OPE,Operations,Operations Team 50,"[1, 2, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_051,DEP_SAL,Sales,Sales Team 51,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZC
TEAM_052,DEP_SAL,Sales,Sales Team 52,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZA
TEAM_053,DEP_SAL,Sales,Sales Team 53,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZC
TEAM_054,DEP_SAL,Sales,Sales Team 54,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZB
TEAM_055,DEP_SAL,Sales,Sales Team 55,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_056,DEP_SAL,Sales,Sales Team 56,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZA
TEAM_057,DEP_SAL,Sales,Sales Team 57,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_058,DEP_SAL,Sales,Sales Team 58,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZB
TEAM_059,DEP_SAL,Sales,Sales Team 59,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZA
TEAM_060,DEP_SAL,Sales,Sales Team 60,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZC
TEAM_061,DEP_SAL,Sales,Sales Team 61,"[1, 3, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_062,DEP_MAR,Marketing,Marketing Team 62,"[1, 3, 4]",BLD01_F03,BLD01_F03_ZA
TEAM_063,DEP_MAR,Marketing,Marketing Team 63,"[1, 3, 4]",BLD01_F03,BLD01_F03_ZB
TEAM_064,DEP_MAR,Marketing,Marketing Team 64,"[1, 4, 5]",BLD01_F03,BLD01_F03_ZD
TEAM_065,DEP_MAR,Marketing,Marketing Team 65,"[1, 3, 4]",BLD01_F03,BLD01_F03_ZC
TEAM_066,DEP_MAR,Marketing,Marketing Team 66,"[3, 4, 5]",BLD01_F03,BLD01_F03_ZA
TEAM_067,DEP_MAR,Marketing,Marketing Team 67,"[1, 3, 4]",BLD01_F03,BLD01_F03_ZB
TEAM_068,DEP_MAR,Marketing,Marketing Team 68,"[2, 3, 4]",BLD01_F03,BLD01_F03_ZD
TEAM_069,DEP_FIN,Finance,Finance Team 69,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZA
TEAM_070,DEP_FIN,Finance,Finance Team 70,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZB
TEAM_071,DEP_FIN,Finance,Finance Team 71,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZC
TEAM_072,DEP_FIN,Finance,Finance Team 72,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZD
TEAM_073,DEP_FIN,Finance,Finance Team 73,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZA
TEAM_074,DEP_FIN,Finance,Finance Team 74,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZD
TEAM_075,DEP_FIN,Finance,Finance Team 75,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZB
TEAM_076,DEP_HR,HR,HR Team 76,"[2, 3, 5]",BLD01_F04,BLD01_F04_ZC
TEAM_077,DEP_HR,HR,HR Team 77,"[3, 4, 5]",BLD01_F04,BLD01_F04_ZB
TEAM_078,DEP_HR,HR,HR Team 78,"[1, 2, 5]",BLD01_F04,BLD01_F04_ZA
TEAM_079,DEP_HR,HR,HR Team 79,"[3, 4, 5]",BLD01_F04,BLD01_F04_ZD
TEAM_080,DEP_HR,HR,HR Team 80,"[1, 4, 5]",BLD01_F04,BLD01_F04_ZC
TEAM_081,DEP_MAN,Management,Management Team 81,"[2, 4, 5]",BLD01_F04,BLD01_F04_ZC
TEAM_082,DEP_MAN,Management,Management Team 82,"[2, 3, 4]",BLD01_F04,BLD01_F04_ZB
TEAM_083,DEP_MAN,Management,Management Team 83,"[2, 3, 5]",BLD01_F04,BLD01_F04_ZA
TEAM_084,DEP_MAN,Management,Management Team 84,"[2, 3, 4]",BLD01_F04,BLD01_F04_ZD
TEAM_085,DEP_MAN,Management,Management Team 85,"[3, 4, 5]",BLD01_F04,BLD01_F04_ZB
TEAM_086,DEP_MAN,Management,Management Team 86,"[1, 2, 5]",BLD01_F04,BLD01_F04_ZC
TEAM_087,DEP_MAN,Management,Management Team 87,"[1, 2, 4]",BLD01_F04,BLD01_F04_ZA
TEAM_088,DEP_MAN,Management,Management Team 88,"[1, 4, 5]",BLD01_F04,BLD01_F04_ZD
